cu,ru,mp,bl,cc,lt,ram,rm,emo,scr,jit,cf,dly,bw,cnl,mos
14.52638,67.726293,0.54,86,4,44,1856,3,1,3,7.776,2265,125.547,706,0,Good
15,82.38806,0.53,3,1,49,335,1,3,7,37.438,1024,190.405,682,0,Good
15.3632,70.635776,5.1,73,4,49,1856,3,3,3,33.417,2265,183.86,334,1,Good
38,83.379888,2.9,45,2,82,716,1,3,6,4.27,1200,16.769,241,1,Bad
37,68.588362,0.57,81,4,44,1856,3,1,3,4.3,2265,178.68,714,0,VeryGood
20,62.6703,0.059,53,4,20,1835,3,3,2,19.09,1512,204.083,1144,0,Excellent
15,62.125341,5.9,55,4,20,1835,3,3,2,46.911,1512,221.188,807,0,VeryGood
16,67.564655,0,77,4,28,1856,3,4,3,8.023,2265,227.99,1055,0,Excellent
16,62.942779,5.6,63,4,48,1835,3,3,2,35.724,1512,270.775,432,0,Good
45,73.478261,2.4,57,1,39,460,1,4,6,28.282,1200,165.702,591,0,VeryGood
35,71.73913,4.5,47,1,32,460,1,1,6,4.133,1200,112.073,476,0,Good
42,87.430168,5.2,35,2,48,716,1,1,6,9.153,1200,121.749,425,0,Good
10,82.26257,3.5,32,2,11,716,1,4,6,31.478,1200,126.64,643,0,VeryGood
41,79.050279,0,30,2,45,716,1,4,6,20.156,1200,169.633,669,0,Good
38,80.865922,5.7,24,2,33,716,1,4,6,8.308,1200,179.212,461,1,Poor
15.9,80,0.53,80,4,12,2884,3,3,3,6.908,2457,119.292,1148,0,Excellent
34,78.26087,0.65,61,1,16,460,1,3,6,30.762,1200,221.302,967,0,VeryGood
48,77.826087,0.56,60,1,45,460,1,1,6,31.385,1200,219.09,711,0,VeryGood
14.68,85,0.56,80,4,19,2884,3,1,3,4.066,2457,117.705,725,0,VeryGood
16.54,75,0.25,80,4,41,2884,3,1,3,31.679,2457,347.021,338,1,Poor
25.35,80,5.4,18,2,19,555,1,1,6,19.881,800,125.047,160,1,Bad
51,76.304348,2.3,49,1,31,460,1,3,6,21.752,1200,163.089,448,1,Good
9,67.920094,0.059,64,4,30,851,2,1,1,17.975,1190,224.849,1068,0,VeryGood
39,76.256983,2.5,27,2,24,716,1,1,6,19.468,1200,128.392,596,1,Good
12,65.3349,0.65,70,4,39,851,2,3,1,18.858,1190,167.957,640,1,Good
16,68.507638,0,65,4,35,851,2,1,1,3.24,1190,221.356,455,0,Good
41,82.681564,3.8,20,2,33,716,1,1,6,3.375,1200,231.023,465,1,Good
19.92,57,2.8,90,4,16,1856,3,3,3,8.161,2265,264.138,890,0,VeryGood
38,81.284916,5.5,23,2,46,716,1,2,6,3.059,1200,218.718,186,1,Poor
72,79.347826,5.1,52,1,45,460,1,3,6,7.727,1200,109.821,708,0,VeryGood
50,75.217391,0.55,65,1,45,460,1,2,6,15.177,1200,242.363,704,0,VeryGood
19.940001,85,2.5,74,4,33,967,2,1,1,39.146,1508,273.845,330,1,Poor
39,77.932961,4.8,26,2,47,716,1,3,6,3.98,1200,170.625,522,0,Poor
39,80.167598,2.4,21,2,47,716,1,4,6,4.725,1200,235.308,613,0,Good
26,70.387779,5.2,69,4,64,851,2,1,1,18.581,1190,113.151,372,0,Good
16.25,87,5.6,28,2,30,468,1,1,7,12.383,1300,222.577,301,1,Poor
12.07,89,1.4,74,4,58,967,2,1,1,6.249,1508,170.757,783,0,Good
47,75.217391,0.62,73,1,26,460,1,2,6,53.869,1200,214.059,1111,0,Excellent
11.86,89,5.5,73,4,28,967,2,1,1,43.649,1508,219.442,324,1,Poor
36,77.793296,3.4,31,2,34,716,1,3,6,4.365,1200,165.104,870,0,VeryGood
28.49,80,0.059,22,2,12,555,1,2,6,20.122,800,235.24,1128,0,Excellent
10.75,81,2.7,71,4,41,1860,3,1,3,31.768,1600,205.51,346,0,Good
52,88.128492,0,39,2,11,716,1,3,6,4.337,1200,17.997,1149,0,Excellent
15.19,48,0.63,79,4,35,1835,3,1,2,16.205,1512,294.592,682,0,VeryGood
24,67.802585,0,25,4,12,851,2,3,1,6.817,1190,153.818,1150,0,Excellent
9.75,78,5.8,39,2,26,694,2,1,1,18.293,1200,122.607,348,1,Good
15.58,76,1.9,28,4,27,851,2,1,1,6.01,1190,141.349,1030,0,VeryGood
14.15,81,2.71,72,4,44,1860,3,1,3,37.978,1600,252.467,488,0,Good
8.91,75,2.9,87,4,39,1856,3,2,3,35.416,2265,184.284,494,1,Good
15.23,76,0.59,22,4,22,851,2,3,1,20.607,1190,243.314,1271,0,Excellent
6.8134,77,10,68,4,60,851,2,3,1,210.303,1190,715.896,85.5,1,Bad
13,56.573276,0.62,88,4,59,1856,3,1,3,39.156,2265,174.855,687,0,VeryGood
7.178558,77,10,73,4,135,851,2,3,1,141.143,1190,719.13,110,0,Bad
19.97,78,5.9,83,8,38,1796,3,1,3,70.874,1300,186.956,730,0,VeryGood
14.87,79,4.3,17,4,56,1853,3,3,3,41.494,2265,310.95,290,1,Poor
62,78.431373,0.57,83,1,49,408,1,1,5,4.281,1008,163.618,696,0,Good
9.67,75,5.6,90,4,49,1856,3,3,3,22.49,2265,127.104,645,0,Good
21,67.025862,2.4,57,4,21,1856,3,1,3,15.471,2265,176.213,473,1,Good
18.31,89,2.3,22,2,48,468,1,1,7,19.215,1300,115.043,342,1,Poor
17,66.157462,0.68,74,4,28,851,2,3,1,33.755,1190,112.288,1149,0,Excellent
13.16,45,5.7,47,4,57,1835,3,4,2,21.083,1512,234.569,617,0,Good
8.6,0,5.3,50,4,36,1835,3,1,2,2.961,1512,202.353,656,0,VeryGood
27.73,88,0.54,19,2,10,468,1,1,6,18.165,1300,170.133,1565,0,Excellent
43,68.656716,2.71,83,1,29,335,1,3,7,43.171,1024,498.628,28.3,1,Bad
23.05,85,5.9,45,2,8,464,1,2,6,25.176,999,390.905,51.5,1,Bad
